departSpeed,departPos,departLane,tau,minGap,actual_mainline,theory_mainline,actual_ramp,theory_ramp,total_abs_error,avg_speed
avg,base,0,1.0,2.5,2916,6000.479999999998,504,1000.0800000000013,3580.559999999999,41.08269635825533
avg,base,0,1.0,1.0,2914,6000.479999999998,504,1000.0800000000013,3582.559999999999,41.1143692654008
avg,base,best,1.0,2.5,2912,6000.479999999998,504,1000.0800000000013,3584.559999999999,41.11741273758495
avg,base,best,1.0,1.0,2912,6000.479999999998,504,1000.0800000000013,3584.559999999999,40.74932712852412
avg,free,best,1.0,1.0,2912,6000.479999999998,504,1000.0800000000013,3584.559999999999,41.28322813462912
avg,free,0,1.0,1.0,2912,6000.479999999998,504,1000.0800000000013,3584.559999999999,41.2713789763897
avg,last,0,1.0,2.5,2912,6000.479999999998,504,1000.0800000000013,3584.559999999999,39.45262151765208
avg,last,0,1.0,1.0,2912,6000.479999999998,504,1000.0800000000013,3584.559999999999,40.027693918653995
avg,last,best,1.0,1.0,2912,6000.479999999998,504,1000.0800000000013,3584.559999999999,39.087961239825795
avg,last,best,1.0,2.5,2912,6000.479999999998,504,1000.0800000000013,3584.559999999999,38.92582382610077
max,base,best,1.0,2.5,2912,6000.479999999998,504,1000.0800000000013,3584.559999999999,40.87805992058192
max,base,best,1.0,1.0,2912,6000.479999999998,504,1000.0800000000013,3584.559999999999,41.18281773428705
max,last,0,1.0,1.0,2912,6000.479999999998,504,1000.0800000000013,3584.559999999999,40.25689928900775
max,last,0,1.0,2.5,2912,6000.479999999998,504,1000.0800000000013,3584.559999999999,39.82877280378317
max,free,best,1.0,1.0,2912,6000.479999999998,504,1000.0800000000013,3584.559999999999,41.33273593310761
max,free,0,1.0,1.0,2912,6000.479999999998,504,1000.0800000000013,3584.559999999999,41.40905524137961
max,last,best,1.0,2.5,2912,6000.479999999998,504,1000.0800000000013,3584.559999999999,38.66577324896366
max,last,best,1.0,1.0,2912,6000.479999999998,504,1000.0800000000013,3584.559999999999,38.82701506384188
avg,free,0,1.0,2.5,2901,6000.479999999998,504,1000.0800000000013,3595.559999999999,41.26657598950053
max,free,0,1.0,2.5,2877,6000.479999999998,504,1000.0800000000013,3619.559999999999,41.387827375271144
max,base,0,1.0,1.0,2839,6000.479999999998,504,1000.0800000000013,3657.559999999999,42.196307635422414
max,free,best,1.0,2.5,2816,6000.479999999998,504,1000.0800000000013,3680.559999999999,42.122882126382656
max,base,0,1.0,2.5,2758,6000.479999999998,504,1000.0800000000013,3738.559999999999,41.73352527207276
avg,free,best,1.0,2.5,2727,6000.479999999998,504,1000.0800000000013,3769.559999999999,41.71948027836327
avg,last,0,1.5,1.0,2592,6000.479999999998,496,1000.0800000000013,3912.559999999999,38.07255552371435
avg,last,best,1.5,1.0,2591,6000.479999999998,496,1000.0800000000013,3913.559999999999,37.614636073158536
max,last,best,1.5,1.0,2576,6000.479999999998,489,1000.0800000000013,3935.559999999999,37.95106446817458
max,last,0,1.5,1.0,2565,6000.479999999998,492,1000.0800000000013,3943.559999999999,38.27543105365719
avg,base,0,1.5,1.0,2501,6000.479999999998,500,1000.0800000000013,3999.559999999999,39.04016684714928
avg,base,best,1.5,1.0,2499,6000.479999999998,498,1000.0800000000013,4003.559999999999,38.93457968199299
avg,free,0,1.5,1.0,2478,6000.479999999998,498,1000.0800000000013,4024.559999999999,39.87414355124526
max,free,0,1.5,1.0,2463,6000.479999999998,498,1000.0800000000013,4039.559999999999,39.69288908938595
max,base,0,1.5,1.0,2453,6000.479999999998,499,1000.0800000000013,4048.559999999999,40.00867384908679
max,base,best,1.5,1.0,2443,6000.479999999998,501,1000.0800000000013,4056.559999999999,40.05146032185458
avg,last,best,1.5,2.5,2455,6000.479999999998,473,1000.0800000000013,4072.559999999999,39.34983859145735
avg,last,0,1.5,2.5,2446,6000.479999999998,473,1000.0800000000013,4081.559999999999,39.855531355969944
max,last,best,1.5,2.5,2444,6000.479999999998,467,1000.0800000000013,4089.559999999999,39.38533579140712
max,last,0,1.5,2.5,2437,6000.479999999998,467,1000.0800000000013,4096.5599999999995,39.392308255144606
avg,base,0,1.5,2.5,2374,6000.479999999998,471,1000.0800000000013,4155.5599999999995,40.403062990554
avg,free,best,1.5,1.0,2335,6000.479999999998,501,1000.0800000000013,4164.5599999999995,39.78655500040521
avg,base,best,1.5,2.5,2363,6000.479999999998,473,1000.0800000000013,4164.5599999999995,40.11624382597313
max,free,best,1.5,1.0,2310,6000.479999999998,498,1000.0800000000013,4192.5599999999995,39.92745971117436
avg,free,0,1.5,2.5,2332,6000.479999999998,476,1000.0800000000013,4192.5599999999995,41.145457825097274
max,free,0,1.5,2.5,2317,6000.479999999998,475,1000.0800000000013,4208.5599999999995,40.70326880627667
max,base,best,1.5,2.5,2309,6000.479999999998,474,1000.0800000000013,4217.5599999999995,40.850108926059626
max,base,0,1.5,2.5,2280,6000.479999999998,478,1000.0800000000013,4242.5599999999995,41.11865205836237
max,free,best,1.5,2.5,2228,6000.479999999998,481,1000.0800000000013,4291.5599999999995,41.41164502418177
avg,free,best,1.5,2.5,2208,6000.479999999998,476,1000.0800000000013,4316.5599999999995,41.05221071308026
