departSpeed,departLane,tau,sigma,speed_kmh,queue_m,total_return,d_paper
avg,per_lane,1.5,0.7,50.15,3.95,5970.0,0.4342
0,per_lane,1.5,0.5,51.44,5.61,6105.0,0.559
0,per_lane,1.6,0.7,50.96,6.24,6040.0,0.6858
0,per_lane,1.5,0.7,53.12,2.2,6348.0,0.8949
avg,per_lane,1.6,0.7,49.25,7.91,5815.0,1.0052
avg,per_lane,1.6,0.5,48.78,9.19,5743.0,1.2744
avg,all_rightmost,1.6,0.7,62.55,0.0,7506.0,1.6196
avg,all_rightmost,1.5,0.7,62.79,0.0,7535.0,1.6257
avg,all_rightmost,1.6,0.5,63.03,0.0,7563.0,1.632
avg,all_rightmost,1.5,0.5,65.22,0.0,7827.0,1.6889
0,all_rightmost,1.6,0.7,68.11,0.0,8173.0,1.7635
0,all_rightmost,1.5,0.7,68.11,0.0,8174.0,1.7637
0,all_rightmost,1.6,0.5,68.21,0.0,8185.0,1.7662
0,all_rightmost,1.5,0.5,69.57,0.0,8349.0,1.8014
avg,per_lane,1.5,0.5,49.23,12.22,5761.0,1.9481
0,per_lane,1.6,0.5,49.33,16.94,5716.0,2.983
